id,st_name,oneway,geometry,speed_lim,frc,length_m,tot_inj_sum,crash_count,pred_crash,bikeway_type,bikelane_id
42,WILKINS,TF,"LINESTRING (-79.91233955094275 40.44673431475703, -79.91189968011349 40.44683109634526, -79.91166798478957 40.44689103383255, -79.91143535035104 40.446977758260125)",25,3,81.55282761951148,1.0,1.0,0.6943879740282588,Bike Lanes,104.0
72,FRICK,B,"LINESTRING (-79.91195204289676 40.42438302631404, -79.91162408184464 40.42440769727967, -79.91124344263096 40.42444227578152, -79.91102862856823 40.42440991285764, -79.91079948952394 40.424322899250406, -79.91060627928037 40.42423590064111, -79.9104372862075 40.42414776240413, -79.9104032811474 40.42412368501003, -79.9103747720615 40.42410293801097, -79.91034899997017 40.424083512735535)",25,4,147.5454548875708,0.0,0.0,0.12900161708537833,None,
78,TASSO,B,"LINESTRING (-79.94545246190773 40.420463110365446, -79.94580021324528 40.420523088838635, -79.9460485128811 40.42056298823597, -79.94607508904858 40.42052404114896, -79.94591452260694 40.42028202540616, -79.94626107237913 40.42013951892728, -79.94623267910134 40.420039834309996, -79.94613330750934 40.419801461599384, -79.94599484807367 40.41954872966888, -79.94595094586049 40.41946924810642)",25,4,199.33077295937665,0.0,0.0,0.13298722916570618,None,
79,BROWNS HILL,B,"LINESTRING (-79.9227521098261 40.41377195140314, -79.92252594525733 40.413613199254954, -79.92226219017205 40.413426635833076, -79.92221717300349 40.413395219740366, -79.92195085836946 40.41321282431812, -79.92168187577127 40.413031163119506, -79.92141376895862 40.41284880019657, -79.92120521798319 40.4127030715617, -79.92093890999206 40.41252067376435, -79.92067956180024 40.41233128000334, -79.92042194506739 40.41213979287218, -79.9202701024267 40.4120259479581)",35,3,286.37731586736044,0.0,0.0,1.6271754915688825,Cautionary Bike Route,75.0
196,SYLVAN,B,"LINESTRING (-79.94363995371454 40.41537995646358, -79.94359401657776 40.41529296161238, -79.94345510761434 40.41502581873363, -79.94332108768911 40.41477094009141, -79.94318796747203 40.41451604331937, -79.94305487055385 40.41426183242261, -79.94292085480542 40.41400695236176, -79.94278684012752 40.413752073935555, -79.94276963677628 40.413720135871806, -79.94263777369349 40.4134761980358, -79.94250201062334 40.413222724509346, -79.94236532873052 40.41296858090787, -79.94222196410912 40.41270220855903, -79.94209288671648 40.412460964018436, -79.94195620787717 40.41220681900135, -79.94181955240563 40.411953361652394, -79.94178992484147 40.411898321280965)",25,4,417.3312463188754,0.0,1.0,0.15116114179732393,None,
217,DALLAS,B,"LINESTRING (-79.91143535035104 40.446977758260125, -79.91164367144059 40.446693103776276)",35,3,36.21761028287522,0.0,0.0,1.4047454933692989,On Street Bike Route,113.0
220,GREENFIELD,B,"LINESTRING (-79.93858770554918 40.42633561852426, -79.93857718547906 40.426315910461106, -79.93850295969352 40.42610451383964, -79.93845618377043 40.425985570234985, -79.938416892092 40.42588621202038)",25,3,51.990747896582434,0.0,0.0,0.6824304894760299,None,
301,GREER,B,"LINESTRING (-79.93981052420324 40.423604356570195, -79.93945733832757 40.423598693286635, -79.9392596285625 40.423595576290545, -79.93925334487871 40.42359569536425, -79.93888846714214 40.423589565439144, -79.93852987436303 40.423583316205765, -79.93843101953675 40.423581757406716, -79.93822402047624 40.423569202355104, -79.93803678713823 40.42350135755999, -79.93778376704287 40.42331599884231, -79.93752433010364 40.4231266432317, -79.93745816381589 40.423080530295145)",25,4,220.1155944040539,0.0,0.0,0.13462133428103149,None,
338,NEVILLE,B,"LINESTRING (-79.95982725092456 40.46115379803503, -79.95947198500426 40.46119214118955, -79.95911554929438 40.46123053069553, -79.95900181823421 40.46124300103748, -79.95864720078711 40.46128204080232, -79.9582907629836 40.46132042868788, -79.9579155093087 40.461360545977236, -79.95757773008178 40.46139239712248, -79.95722111140223 40.46142529166218, -79.9565791214278 40.46149864409073, -79.95622614044312 40.4615328390205, -79.95618352249964 40.46152129613831)",25,4,312.1983786089997,0.0,0.0,0.14210584491582673,None,
543,GLOSTER,B,"LINESTRING (-79.94428443428734 40.40683358996027, -79.94422680577465 40.40655254918312, -79.94416993592833 40.40629483101798, -79.94411084797727 40.406024113953855, -79.94405265793074 40.40575337979996, -79.94398998115702 40.40548272904129, -79.94396130153373 40.405291064031196)",25,4,173.51528028739833,0.0,0.0,0.13098520300923822,None,
547,2ND,B,"LINESTRING (-79.94570824265526 40.41275543722351, -79.94567401703736 40.41266959255007, -79.94561834865077 40.412531985156384, -79.94555261285907 40.4123609314995, -79.94552381740617 40.41227635739719, -79.94548618555739 40.41216861059372, -79.9454716564109 40.41210847799226, -79.94542844851318 40.41193974283577, -79.94538611602545 40.41177030456133, -79.94518445834153 40.41120299798679)",25,4,178.17985673351887,0.0,0.0,0.13134470295520603,None,
