frc,hr,min,tt_ratio
1,7,0,1.0
1,7,5,1.0
1,7,10,1.0
1,7,15,1.0
1,7,20,1.0
1,7,25,1.0
1,7,30,1.0
1,7,35,1.0
1,7,40,1.0
1,7,45,1.0
1,7,50,1.0
1,7,55,1.003
1,8,0,1.0
1,8,5,1.0
1,8,10,1.001
1,8,15,1.003
1,8,20,1.0
1,8,25,1.029
1,8,30,1.059
1,8,35,1.114
1,8,40,1.144
1,8,45,1.048
1,8,50,1.026
1,8,55,1.023
2,7,0,1.0
2,7,5,1.0
2,7,10,1.009
2,7,15,1.033
2,7,20,1.042
2,7,25,1.069
2,7,30,1.081
2,7,35,1.114
2,7,40,1.124
2,7,45,1.148
2,7,50,1.157
2,7,55,1.166
2,8,0,1.131
2,8,5,1.123
2,8,10,1.116
2,8,15,1.099
2,8,20,1.09
2,8,25,1.07
2,8,30,1.104
2,8,35,1.105
2,8,40,1.097
2,8,45,1.095
2,8,50,1.098
2,8,55,1.093
3,7,0,1.0
3,7,5,1.0
3,7,10,1.007
3,7,15,1.021
3,7,20,1.041
3,7,25,1.061
3,7,30,1.063
3,7,35,1.076
3,7,40,1.089
3,7,45,1.1
3,7,50,1.113
3,7,55,1.108
3,8,0,1.088
3,8,5,1.08
3,8,10,1.073
3,8,15,1.068
3,8,20,1.066
3,8,25,1.064
3,8,30,1.075
3,8,35,1.073
3,8,40,1.055
3,8,45,1.055
3,8,50,1.053
3,8,55,1.047
4,7,0,1.0
4,7,5,1.004
4,7,10,1.008
4,7,15,1.016
4,7,20,1.022
4,7,25,1.03
4,7,30,1.036
4,7,35,1.042
4,7,40,1.044
4,7,45,1.051
4,7,50,1.063
4,7,55,1.066
4,8,0,1.063
4,8,5,1.057
4,8,10,1.057
4,8,15,1.057
4,8,20,1.06
4,8,25,1.058
4,8,30,1.058
4,8,35,1.061
4,8,40,1.061
4,8,45,1.06
4,8,50,1.058
4,8,55,1.058
5,7,0,1.0
5,7,5,1.007
5,7,10,1.015
5,7,15,1.013
5,7,20,1.016
5,7,25,1.02
5,7,30,1.023
5,7,35,1.025
5,7,40,1.024
5,7,45,1.031
5,7,50,1.038
5,7,55,1.042
5,8,0,1.048
5,8,5,1.051
5,8,10,1.051
5,8,15,1.053
5,8,20,1.057
5,8,25,1.055
5,8,30,1.052
5,8,35,1.055
5,8,40,1.046
5,8,45,1.043
5,8,50,1.037
5,8,55,1.035
